Sun:  Spectral Radiance,
Wavelength (nm),Solar Radiance
,(watts/m2-sr-nm)
119.48999999999998,0.0
119.5,0.9095588235294118
120.5,8.255882352939706
121.5,72.07352941176471
122.5,17.41176470588088
123.5,0.7014705882352942
124.5,0.5048529411764706
125.5,0.4238235294117647
126.5,0.5180882352941176
127.5,0.31279411764705883
128.49999999999997,0.2539705882352941
129.49999999999997,0.5873529411764706
130.5,1.773529411764706
131.5,0.5857352941176471
132.5,0.606764705882353
133.5,2.470588235292647
134.49999999999997,0.6723529411764706
135.49999999999997,0.5591176470588235
136.5,0.45499999999999996
137.5,0.4294117647058824
138.5,0.5835294117647059
139.5,1.1120588235294118
140.49999999999997,0.8933823529411765
141.49999999999997,0.6186764705882354
142.5,0.6886764705882352
143.5,0.7514705882352941
144.5,0.7489705882352942
145.5,0.8139705882352941
146.5,1.0422058823529412
147.49999999999997,1.2477941176470588
148.5,1.2057352941176471
149.5,1.1700000000000002
150.5,1.2789705882352942
151.5,1.3626470588235293
152.5,1.7102941176455884
153.49999999999997,1.9102941176470591
154.49999999999997,3.0279411764691178
155.5,3.1529411764705886
156.5,2.7161764705867646
157.5,2.525
158.5,2.463235294117647
159.49999999999997,2.5794117647058825
160.49999999999997,2.8441176470588236
161.5,3.2764705882338236
162.5,3.7044117647058825
163.5,4.177941176470589
164.5,4.372058823529412
165.49999999999997,6.326470588233823
166.49999999999997,5.8661764705867645
167.5,5.698529411763236
168.5,6.7
169.5,8.64264705882353
170.5,9.729411764705883
171.49999999999997,10.117647058823529
172.49999999999997,10.66470588235147
173.5,11.24264705882206
174.5,13.333823529410294
175.5,15.86764705882353
176.5,17.941176470586765
177.49999999999997,20.63235294117647
178.49999999999997,22.617647058823533
179.5,23.176470588233823
180.5,26.926470588233823
181.5,32.83823529411765
182.5,32.985294117647065
183.49999999999997,32.99999999999853
184.49999999999997,30.38235294117647
185.49999999999997,33.98529411764706
186.5,39.70588235294118
187.5,44.25
188.5,48.39705882352941
189.49999999999997,52.48529411764706
190.49999999999997,55.35294117647059
191.49999999999997,61.25000000000001
192.5,60.485294117647065
193.5,56.0
194.5,76.61764705882354
195.49999999999997,79.80882352941177
196.49999999999997,88.3529411764706
197.49999999999997,91.04411764705883
198.5,90.9852941176456
199.5,97.99999999999854
200.5,107.73529411764706
201.49999999999997,117.98529411764707
202.49999999999997,121.4852941176456
203.49999999999997,135.54411764705736
204.5,150.73529411764707
205.5,155.0
206.5,162.94117647058823
207.49999999999997,186.02941176470588
208.49999999999997,221.32352941176325
209.49999999999997,314.4117647058824
210.5,410.5882352941177
211.5,493.2352941176471
212.5,460.29411764705884
213.5,487.4999999999986
214.49999999999997,588.6764705882354
215.49999999999997,531.6176470588235
216.5,474.55882352941177
217.5,518.9705882352941
218.5,652.5
219.5,690.0
220.49999999999997,696.0294117647044
221.49999999999997,582.0588235294103
222.49999999999997,730.1470588235294
223.5,926.6176470588221
224.5,867.2058823529412
225.5,768.9705882352941
226.49999999999997,579.4117647058808
227.49999999999997,587.0588235294103
228.49999999999997,763.9705882352941
229.5,701.6176470588235
230.5,766.4705882352941
231.5,749.5588235294118
232.49999999999997,783.2352941176471
233.49999999999997,657.9411764705883
234.49999999999997,573.0882352941162
235.5,756.1764705882354
236.5,714.5588235294118
237.5,712.3529411764691
238.5,617.0588235294103
239.49999999999997,648.8235294117633
240.5,581.7647058823514
241.49999999999997,757.0588235294103
242.5,1038.2352941176455
243.49999999999997,978.3823529411766
244.49999999999997,896.6176470588235
245.5,726.3235294117648
246.49999999999997,741.1764705882354
247.5,816.1764705882354
248.49999999999997,671.3235294117648
249.5,829.1176470588235
250.5,883.8235294117648
251.49999999999997,676.6176470588235
252.5,611.0294117647044
253.49999999999997,758.0882352941162
254.5,876.0294117647044
255.49999999999997,1166.1764705882338
256.5,1497.0588235294117
257.5,1844.1176470588236
258.5,1839.7058823529399
259.5,1529.4117647058822
260.49999999999994,1301.4705882352926
261.5,1320.5882352941178
262.49999999999994,1523.5294117647059
263.5,2438.2352941176473
264.5,3672.0588235294117
265.5,3716.176470588234
266.5,3667.6470588235297
267.49999999999994,3688.2352941176473
268.5,3585.2941176470576
269.5,3513.2352941176473
270.5,3930.882352941175
271.5,3299.9999999999986
272.49999999999994,2902.941176470587
273.5,2889.7058823529414
274.49999999999994,1950.0
275.5,2575.0
276.5,3570.588235294116
277.5,3438.2352941176473
278.5,2342.6470588235293
279.49999999999994,1258.0882352941176
280.5,1391.6176470588236
281.5,3063.2352941176473
282.5,4324.999999999999
283.5,4610.294117647059
284.49999999999994,3460.294117647059
285.5,2398.5294117647045
286.49999999999994,4745.588235294116
287.5,4945.588235294116
288.5,4738.235294117645
289.5,6951.470588235295
290.5,8842.647058823528
291.49999999999994,8541.176470588234
292.5,7675.000000000001
293.49999999999994,7874.999999999998
294.5,7482.352941176471
295.5,8135.2941176470595
296.49999999999994,7494.117647058824
297.5,7460.294117647057
298.49999999999994,6845.588235294118
299.5,7117.647058823528
300.5,6176.470588235292
301.5,6698.529411764706
302.5,7191.176470588233
303.49999999999994,9126.470588235296
304.5,8860.29411764706
305.49999999999994,8747.058823529413
306.5,8172.05882352941
307.5,9044.117647058822
308.49999999999994,8991.176470588236
309.5,7301.470588235294
310.49999999999994,9152.941176470587
311.5,10723.529411764704
312.5,9645.588235294119
313.5,10292.647058823528
314.5,9748.529411764706
315.49999999999994,9308.823529411766
316.5,9311.764705882351
317.49999999999994,11380.882352941177
318.5,9777.94117647059
319.5,10448.529411764706
320.49999999999994,11839.705882352942
321.5,10286.764705882353
322.49999999999994,10126.470588235292
323.5,9725.0
324.49999999999994,11188.235294117647
325.5,12879.411764705883
326.5,14404.411764705883
327.49999999999994,14010.29411764706
328.5,13494.117647058823
329.49999999999994,15602.941176470587
330.5,14941.176470588236
331.5,14201.470588235294
332.5,14042.64705882353
333.5,13552.941176470587
334.49999999999994,14101.470588235294
335.5,13873.529411764706
336.49999999999994,11904.411764705883
337.5,12379.411764705881
338.5,13551.470588235294
339.49999999999994,14089.70588235294
340.5,14808.823529411764
341.49999999999994,13585.294117647058
342.5,14602.941176470587
343.5,13979.411764705883
344.5,11701.470588235292
345.5,13811.764705882353
346.49999999999994,13623.529411764706
347.5,13260.294117647058
348.49999999999994,13194.117647058823
349.5,13085.29411764706
350.5,15441.176470588236
351.49999999999994,14404.411764705883
352.5,13351.470588235296
353.49999999999994,15191.176470588234
354.5,16338.235294117647
355.49999999999994,15367.647058823528
356.5,13416.176470588236
357.5,11705.882352941177
358.49999999999994,10199.999999999998
359.5,14575.0
360.49999999999994,14276.470588235294
361.5,12913.235294117645
362.5,14673.529411764706
363.49999999999994,14660.29411764706
364.5,14897.05882352941
365.49999999999994,16941.176470588234
366.5,18132.352941176472
367.49999999999994,17352.941176470587
368.5,16191.176470588234
369.5,18029.41176470588
370.49999999999994,16750.0
371.5,17279.411764705885
372.49999999999994,15500.0
373.5,13532.35294117647
374.5,13241.176470588234
375.49999999999994,15617.64705882353
376.5,15955.882352941177
377.49999999999994,18852.941176470587
378.5,19514.70588235294
379.49999999999994,15676.470588235296
380.5,17676.470588235294
381.5,15911.764705882355
382.49999999999994,11636.764705882353
383.5,10060.29411764706
384.49999999999994,14113.235294117647
385.5,14823.529411764706
386.5,14808.823529411764
387.49999999999994,14764.70588235294
388.5,14475.0
389.49999999999994,17264.70588235294
390.5,18338.23529411765
391.49999999999994,19735.29411764706
392.5,14985.294117647058
393.5,8563.235294117647
394.49999999999994,15088.235294117647
395.5,19323.529411764706
396.49999999999994,12566.176470588236
397.5,13658.823529411764
398.49999999999994,22382.352941176472
399.5,24455.88235294118
400.5,24735.29411764706
401.49999999999994,25676.470588235294
402.5,25867.647058823528
403.49999999999994,24764.70588235294
404.5,24617.647058823528
405.5,24514.70588235294
406.49999999999994,23367.647058823528
407.5,23941.176470588234
408.49999999999994,25514.705882352944
409.5,25220.58823529412
410.49999999999994,22529.411764705885
411.5,26720.588235294115
412.5,26308.823529411762
413.49999999999994,25823.529411764706
414.5,25544.117647058825
415.49999999999994,25500.0
416.5,27088.235294117647
417.5,24485.29411764706
418.49999999999994,24764.70588235294
419.5,25014.705882352944
420.49999999999994,25838.235294117647
421.5,26426.470588235294
422.49999999999994,23264.705882352944
423.5,25161.764705882353
424.5,25985.294117647056
425.49999999999994,24926.470588235294
426.5,24970.58823529412
427.49999999999994,23073.529411764706
428.5,23338.235294117647
429.49999999999994,21691.176470588238
430.49999999999994,16691.176470588234
431.5,24794.11764705882
432.49999999999994,24205.882352941175
433.5,25455.88235294118
434.49999999999994,24558.823529411762
435.5,25338.235294117647
436.5,28367.64705882353
437.49999999999994,26558.823529411766
438.5,23044.11764705882
439.49999999999994,26838.235294117647
440.5,25191.176470588238
441.49999999999994,28397.058823529413
442.49999999999994,29117.647058823528
