340.740711,0.015470
359.358376,0.052482
371.770152,0.082415
395.214619,0.088687
408.315939,0.054697
423.350254,0.025396
447.715736,0.004874
474.512081,0.014674
486.234315,0.024663
506.506883,0.048405
517.953299,0.080707
528.020629,0.109177
534.502335,0.128273
541.397766,0.170437
546.192893,0.218302
550.361827,0.267425
553.809543,0.301110
556.567716,0.332472
559.325888,0.363833
562.084061,0.400074
565.531777,0.445838
567.600406,0.494855
570.128731,0.537833
573.116751,0.588244
575.645076,0.637261
578.633096,0.688501
582.080812,0.752718
584.838985,0.791328
586.802030,0.842170
588.832487,0.893475
591.734416,0.931828
597.250761,0.969741
609.662538,1.000000
624.315330,0.989673
637.933807,0.956046
648.276954,0.928244
660.688731,0.893796
674.479594,0.849591
690.339086,0.801329
700.682234,0.770340
717.231269,0.730494
726.884873,0.699055
735.848934,0.667693
742.054822,0.650270
753.087513,0.607835
766.878376,0.577945
777.911066,0.543939
788.598985,0.508097
797.907817,0.478826
809.630051,0.447542
823.420914,0.415754
833.764061,0.382128
845.486294,0.350592
856.518985,0.326896
869.035533,0.290129
883.248731,0.257294
901.522843,0.216250
921.827411,0.173154
942.131980,0.136215
963.451777,0.101327
988.832487,0.070544
