342.809340,0.006311
372.588832,0.037709
393.145990,0.059277
422.335025,0.084910
448.730964,0.128006
463.479391,0.187511
466.237563,0.220964
468.306193,0.266612
471.064365,0.313854
473.822538,0.357910
476.580711,0.403558
479.568731,0.450595
482.097056,0.492765
484.855228,0.538413
487.613401,0.584062
491.061117,0.616121
495.887919,0.685349
498.646091,0.720560
502.093807,0.754577
504.851980,0.784080
508.629442,0.831909
511.747411,0.878118
517.766497,0.922206
525.538274,0.966674
547.086497,0.975037
557.257259,0.939494
563.233299,0.909062
567.600406,0.881649
572.427208,0.844480
576.564467,0.814280
579.322640,0.785474
585.528528,0.722286
587.597157,0.666439
591.044873,0.602879
593.803046,0.565245
596.561218,0.524823
599.319391,0.486492
602.077563,0.446071
604.835736,0.409831
607.593909,0.372893
610.352081,0.336421
613.110254,0.298322
615.868426,0.267658
618.274112,0.212146
626.395939,0.154684
640.609137,0.105432
670.050761,0.113640
685.279188,0.173154
698.477157,0.218302
722.842640,0.240877
749.238579,0.261398
767.512690,0.298338
789.847716,0.325017
806.527107,0.354773
818.594112,0.357561
834.913299,0.346410
849.746193,0.318860
867.005076,0.281920
883.248731,0.251138
900.507614,0.214198
918.781726,0.179311
937.055838,0.144423
953.299492,0.111588
974.619289,0.084910
996.954315,0.060283
